Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
2068 ,Ang,Illiciaceae,Illicium floridanum,-3.28 ,,,,,,3.083333333,20.91 ,1606.00 ,0.808569721,1.1316,617.9046303,16.67665193,7.039999962,79,29°57' N,90°04' W,"Sperry, 2007, International Journal of Plant Sciences",Louisiana,USA
2691 ,Ang,Fabaceae,Indigofera szechuensis,,1.44 ,1.23 ,,0.72 ,,1.649999996,12.79 ,928.00 ,6.066549556,0.8259,567.4750116,90.2711391,-1.203999996,9,29°39'N,102°06'E,"Xu, 2020, New Phytologist",Sichuan province,China
1928 ,Ang,Fabaceae,Inga alba,-3.62 ,8.07 ,0.55 ,,0.66 ,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
1929 ,Ang,Fabaceae,Inga capitata,,7.76 ,0.53 ,,,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
1930 ,Ang,Fabaceae,Inga gracilifolia,-2.02 ,4.20 ,1.57 ,,0.77 ,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
1931 ,Ang,Fabaceae,Inga rubiginosa,-1.60 ,1.22 ,1.50 ,,0.75 ,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
1932 ,Ang,Fabaceae,Inga rubiginosa,,8.87 ,1.21 ,,0.64 ,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
1933 ,Ang,Fabaceae,Inga sp.,,7.05 ,1.95 ,,0.72 ,,1.724999984,26.11 ,2200.00 ,0.714118781,1.282,47.26106932,58.15009262,20.47200012,48,1°43'S,51°27'W,"Rowland, 2020, New Phytologist",eastern Amazonia,Brazil
2371 ,Ang,Fabaceae,Inga vera,-3.90 ,3.33 ,0.65 ,,,,1.650000006,26.79 ,2330.00 ,0.716664737,1.3739,67.82329313,69.04398102,22.50799942,19,9°10'N,79°07'W,"van der Sande, 2013, Oecologia",Isthmus of Panama,Panama
1723 ,Ang,Myristicaceae,Iryanthera juruensis,-0.67 ,,,,,,1.141666691,26.88 ,2216.00 ,0.839025411,1.3428,52.339996,49.8643603,22.24399948,59,03°08'S,59°53'W,"Oliveire, 2019, New Phytologist",Manaus,Brazil
3072 ,Ang,Myristicaceae,Iryanthera sagotiana,-3.69 ,,,,,,2.158333331,25.74 ,2796.00 ,0.649499163,1.8807,45.73945121,49.59006205,21.01600075,68,5°16'N,52°55'W,"Ziegler, 2019, Annals of Forest Science","Guiana Shield, French Guiana",France (overseas territories)
1724 ,Ang,Myristicaceae,Iryanthera ulei,-0.56 ,,,,,,1.141666691,26.88 ,2216.00 ,0.839025411,1.3428,52.339996,49.8643603,22.24399948,59,03°08'S,59°53'W,"Oliveire, 2019, New Phytologist",Manaus,Brazil
2392 ,Ang,Fabaceae,Isoberlinia angolensis,-1.95 ,1.33 ,,26.00 ,,,3.066666683,19.78 ,1236.00 ,1.01444953,0.7264,259.8332745,113.2747069,5.624000072,0,12°49' S,28°22' E,"Vinya, 2013, Oecologia",Kitwe City,Zambia 
1076 ,Ang,Capparaceae,Isomeris arborea,-2.35 ,0.34 ,,17.73 ,0.61 ,1.00 ,3.841666718,17.80 ,125.00 ,1.931995772,0.0829,770.9042762,72.94623604,0.100000001,1,35°20' N,117°59' W,"Jacobsen, 2007b, Plant, Cell and Environment; Jacobsen, 2008, New Phytologist; Hacke, 2009, Plant, Cell and Environment",Southern California,USA
2331 ,Ang,Sapotaceae,Isonandra lanceolata,-0.48 ,,,,,,1.808333327,27.33 ,3096.00 ,0.808628976,2.0808,45.1874726,24.42523653,22.56800079,192,4°34' N,114°25' E,"Tyree, 1998, Tree Physiology",Badas,Brunei
443 ,Ang,Proteaceae,Isopogon anemonifolius,,0.23 ,0.09 ,,,,2.699999988,11.40 ,1076.00 ,0.615049716,0.8722,433.5529752,21.55849705,0.5,63,33°59'S,150°07'E,"Choat, 2011, New Phytologist",south-eastern Australia,Australia
1655 ,Ang,Proteaceae,Isopogon axillaris,,0.51 ,0.01 ,16.14 ,0.81 ,,3.441666683,16.82 ,359.00 ,1.116587761,0.2473,521.4274796,49.21736532,2.692000151,11,32°19' S,117°52' E,"Mitchell, 2008, Oecologia",Western Australia,Australia
1654 ,Ang,Proteaceae,Isopogon gardneri,-3.75 ,0.65 ,0.10 ,15.02 ,0.92 ,,3.441666683,16.82 ,359.00 ,1.116587761,0.2473,521.4274796,49.21736532,2.692000151,11,32°19' S,117°52' E,"Mitchell, 2008, Oecologia",Western Australia,Australia
653 ,Ang,Iteaceae,Itea chinensis,-2.54 ,0.45 ,0.32 ,,,,1.708333333,15.31 ,1184.00 ,0.558582058,1.1298,632.1588893,75.233605,1.911999941,18,26°15' N,105°44' E,"Fan, 2011, Tree Physiology; Fan, 2018, Forest Ecosystems",Guizhou Province,China
2139 ,Ang,Iteaceae,Itea yunnanensis,,0.29 ,0.38 ,,0.65 ,,1.708333333,15.31 ,1184.00 ,0.558582058,1.1298,632.1588893,75.233605,1.911999941,18,26°15'N,105°80'E,This study,Guizhou Province,China
2971 ,Ang,Rubiaceae,Ixora chinensis,-1.48 ,,,,,,1.866666645,20.60 ,1835.00 ,0.759396395,1.4258,565.6792834,66.92045161,8.623999596,37,23°10'N,112°31'E,"Zhu, 2018, Tree Physiology",Guangdong Province,China
819 ,Ang,Rubiaceae,Ixora timorensis,,2.40 ,0.90 ,28.52 ,0.52 ,6.00 ,4.891666691,23.63 ,2084.00 ,0.865874479,1.3729,289.0695581,88.38712088,14.96000004,29,18°24' S,146°6' E,"Gleason, 2012, Functional Ecology",Queensland,Australia
1155 ,Ang,Bignoniaceae,Jacaranda mimosifolia,,1.90 ,,101.00 ,,5.00 ,3.016666691,19.72 ,692.00 ,0.900344312,0.4632,115.555556,73.90494713,12.73600006,11,1°19' S,36°55' E,"Kondoh, 2006, Tree Physiology","Tiva, Kitiui Prefecture",Kenya
884 ,Ang,Fabaceae,Jacksonia scoparia,,1.13 ,0.28 ,25.85 ,0.68 ,3.00 ,2.458333313,16.28 ,874.00 ,0.857961244,0.5743,450.6347406,33.16001174,4,38,32°47' S,150°55' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany","New South Wales, Eastern Australia",Australia
1640 ,Ang,Euphorbiaceae,Jatropha bullockii,,,,68.39 ,0.27 ,,2.533333361,25.07 ,999.00 ,NA,0.4434,207.0734595,111.2129666,17.13199997,2,19°29'N,105°02'W,"Mendez-Alonzo, 2013, Trees-Strucyture and Function",the Pacific coast of Jalisco,Mexico
1111 ,Ang,Juglandaceae,Juglans ailantifolia,-1.91 ,,,66.20 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
1112 ,Ang,Juglandaceae,Juglans cinerea,-1.89 ,,,62.03 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
1113 ,Ang,Juglandaceae,Juglans hindsii,-2.16 ,,,67.20 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
1114 ,Ang,Juglandaceae,Juglans mandshurica,-1.99 ,,,66.34 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
1265 ,Ang,Juglandaceae,Juglans mandshurica,-2.60 ,10.97 ,2.39 ,60.99 ,0.41 ,7.43 ,1.841666669,3.27 ,661.00 ,0.432660541,0.799,1257.058799,95.56655616,-21.12800026,5,42°24'N,128°28'E,"Liu, 2015, Tree Physiology; Liu, 2019, Science Advances; Song, 2018, Forest Ecology and Management; Yang, 2019, Tree Physiology",Jilin province,China
2456 ,Ang,Juglandaceae,Juglans mandshurica,,2.03 ,1.80 ,,0.31 ,,2.308333327,5.61 ,751.00 ,2.957267348,0.6981,607.8590627,99.25253833,-9.423999786,2,29°23'N,101°01'E,"Xu, 2020, New Phytologist",Sichuan province,China
2732 ,Ang,Juglandaceae,Juglans mandshurica,,0.70 ,1.75 ,,0.33 ,,1.299999992,13.24 ,983.00 ,2.92760473,0.7174,576.9135477,90.39955827,-0.60799998,10,29°26'N,102°10'E,"Xu, 2020, New Phytologist",Sichuan province,China
3125 ,Ang,Juglandaceae,Juglans mandshurica,,5.37 ,1.96 ,,,,3.516666671,2.79 ,594.00 ,0.46329067,0.8569,1416.032805,107.0789385,-24.60400009,3,45°24´N,127°40´E,"??, 2017, ??????; Jin, 2016, Functional Plant Biology",Heilongjiang province ,China
1115 ,Ang,Juglandaceae,Juglans microcarpa,-1.99 ,,,60.95 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
1116 ,Ang,Juglandaceae,Juglans nigra,-2.04 ,,,63.38 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
409 ,Ang,Juglandaceae,Juglans regia,-2.30 ,3.71 ,0.57 ,52.05 ,0.45 ,,2.791666687,12.90 ,750.00 ,0.833278615,0.7018,1029.416139,109.3542796,-7.93599987,8,35°46'N,117°47'E,"Chen, 2019, 2020, 2021, Tree Physiology","Xintai, Shandong province",China
496 ,Ang,Juglandaceae,Juglans regia,-2.22 ,,,,,10.00 ,2.699999988,11.29 ,598.00 ,0.592509912,0.6645,603.3775522,38.21785488,-2.052000046,27,45°47' N,3°09' E,"Cochard, 2005, Cochard, Physiologia Plantarum; Cochard, 2002, Plant Physiology",Clermont-Ferrand,France
1117 ,Ang,Juglandaceae,Juglans regia,-2.00 ,,,66.17 ,,,2.37500002,12.62 ,965.00 ,0.625251096,0.8941,551.6174442,19.66217053,0.096000001,53,44° 44'  N,0° 17' E,"Jinagool, 2018, Hortscience",Southwestern France,France
2393 ,Ang,Fabaceae,Julbernardia paniculata,-2.24 ,1.15 ,,27.00 ,,,3.066666683,19.78 ,1236.00 ,1.01444953,0.7264,259.8332745,113.2747069,5.624000072,0,12°49' S,28°22' E,"Vinya, 2013, Oecologia",Kitwe City,Zambia 
2431 ,Gym,Cupressaceae,Juniperus arizonica,-13.80 ,0.22 ,,,0.62 ,,3.483333309,16.09 ,272.00 ,1.802457282,0.1586,764.9405196,79.75092423,-2.676000118,4,35°10' N,107°36' W,"Willson, 2008, American Journal of Botany",New Mexico,USA
1135 ,Gym,Cupressaceae,Juniperus ashei,-13.10 ,0.13 ,,,,5.10 ,3.883333286,18.49 ,684.00 ,1.197539008,0.4573,760.107241,32.5724789,1.268000007,32,31°19' N,98°35' W,"Johnson, 2016, Tree physiology; Johnson, 2018, Functional Ecology","Bend, TX",USA
1582 ,Gym,Cupressaceae,Juniperus ashei,-13.41 ,0.20 ,,,,,3.99999998,17.96 ,600.00 ,1.300554698,0.3702,737.0400322,40.15801859,0.483999997,25,30°55' N,99°54' W,"McElrone, 2004, New Phytologist",Texas ,USA
2434 ,Gym,Cupressaceae,Juniperus ashei,-13.10 ,0.36 ,,,0.64 ,,3.583333313,19.83 ,836.00 ,1.122055891,0.5729,707.6184251,34.02830914,4.115999699,47,30°22' N,97°45' W,"Willson, 2008, American Journal of Botany","Austin, Texas",USA
2439 ,Gym,Cupressaceae,Juniperus barbadensis,-12.80 ,0.39 ,,,0.58 ,,4.583333353,25.98 ,2095.00 ,NA,1.4907,85.76645863,43.10984962,21.8235302,84,13°50' N,61°03' W,"Willson, 2008, American Journal of Botany",Petit Piton,St. Lucia
533 ,Gym,Cupressaceae,Juniperus chinensis,-6.54 ,,,8.47 ,,7.32 ,2.199999988,10.34 ,439.00 ,0.837276485,0.4003,1058.052428,105.8021687,-12.22000027,3,37°26?N,112°32?E,"Dai, 2020, Plant Physiology and Biochemistry",Shanxi provience,China
190 ,Gym, Cupressaceae ,Juniperus communis,-6.24 ,0.52 ,0.24 ,,,3.00 ,1.866666675,7.87 ,1118.00 ,0.369855718,1.1405,676.3905651,38.39554791,-6.239999771,57,47°19' N,11°06' E,"Beikircher, 2008, Plant, Cell and Environment","Telfs, Tyrol",Austria
513 ,Gym,Cupressaceae,Juniperus communis,-6.37 ,,,17.36 ,0.57 ,3.00 ,4.833333373,10.34 ,834.00 ,0.609331423,0.8196,612.7969217,25.04368791,-3.555999994,35,43°57' N,3°13' E,"Cochard, 2006, Comptes Rendus Physique",Larzac,France
1555 ,Gym,Cupressaceae,Juniperus communis,-5.66 ,0.13 ,,8.18 ,0.58 ,0.50 ,3.25,2.43 ,1107.00 ,0.426773122,2.75,594.6975675,31.45891948,-8.616000175,55,47°11' N,11°19' E,"Mayr, 2006, Ecology",Tyrol,Austria
1560 ,Gym,Cupressaceae,Juniperus communis,-6.43 ,0.37 ,,6.82 ,0.68 ,2.00 ,1.691666643,7.83 ,1029.00 ,0.366518153,1.0239,660.2526953,39.80209236,-5.599999905,48,47°16' N,11°22' E,"Mayr, 2006, Ecology",Tyrol,Austria
1700 ,Gym,Cupressaceae,Juniperus communis,-5.96 ,,,,,,1.599999984,8.57 ,979.00 ,0.366518153,1.0239,674.2515165,40.48312633,-5.248000145,46,47°16' N,11°24' E,"Nolf, 2015b, New Phytologist",Innsbruck,Austria
2299 ,Gym,Cupressaceae,Juniperus communis,-3.60 ,0.25 ,0.21 ,10.29 ,,2.00 ,2.858333349,13.54 ,849.00 ,0.662581357,0.8832,652.6431961,30.90367526,0.400000006,32,43°26' N,10°42' E,"Tognetti, 2001, Australian Journal of Plant Physiology",Lajatico,Italy
2354 ,Gym,Cupressaceae,Juniperus communis,-6.77 ,0.56 ,,,,0.50 ,1.825000018,7.83 ,1029.00 ,0.366518153,1.1501,660.2526953,39.80209236,-5.599999905,48,47°17' N,11°22' E,"Unterholzner, 2020, Tree Physiology",north of Innsbruck,Austria
2440 ,Gym,Cupressaceae,Juniperus deppeana,-8.30 ,0.23 ,0.13 ,8.75 ,0.54 ,,3.349999984,8.61 ,489.00 ,0.95644914,0.416,781.5262683,39.63626142,-12.18400002,10,35°10' N,111°31' W,"Willson, 2008, American Journal of Botany; Willson & Jackson, 2006, Physiologia Plantarum",Arizona,USA
2433 ,Gym,Cupressaceae,Juniperus flaccida,-7.80 ,0.50 ,,,0.61 ,,4.208333353,15.93 ,465.00 ,1.783948992,0.3483,556.9019549,75.90593583,1.200000048,9,29°16' N,103°16' W,"Willson, 2008, American Journal of Botany",Texas,USA
2437 ,Gym,Cupressaceae,Juniperus lucayana,-8.30 ,0.71 ,,,0.63 ,,2.649999976,19.39 ,2129.00 ,0.551043735,1.9444,120.9541928,39.23943137,13.77600002,94,18°04' N,76°40' W,"Willson, 2008, American Journal of Botany",,Jamaica
769 ,Gym,Cupressaceae,Juniperus monosperma,-10.87 ,,,,,,3.716666698,9.40 ,439.00 ,0.761959222,0.3718,827.2080462,51.78640568,-10.89599991,20,35°49' N,106°18' W,"Garcia-Forner, 2016, Plant, Cell and Environment","Los Alamos County, New Mexico",USA
1816 ,Gym,Cupressaceae,Juniperus monosperma,-11.80 ,0.23 ,,8.65 ,,,3.041666667,18.41 ,391.00 ,1.813401252,0.2265,703.9524282,77.36163668,-0.032000002,5,32°01' N,110°37' W,"Pockman & Sperry, 2000, American Journal of Botany","Pima County, Arizona",USA
2441 ,Gym,Cupressaceae,Juniperus monosperma,-9.96 ,0.27 ,0.18 ,,0.62 ,,3.349999984,8.61 ,489.00 ,0.95644914,0.416,781.5262683,39.63626142,-12.18400002,10,35°10' N,111°31' W,"Willson, 2008, American Journal of Botany; Willson & Jackson, 2006, Physiologia Plantarum",Arizona,USA
2429 ,Gym,Cupressaceae,Juniperus occidentalis,-9.00 ,0.28 ,,,0.60 ,,3.308333278,8.47 ,253.00 ,0.827952873,0.2094,690.6508227,40.84419375,-10.04800034,11,44°06' N,121°08' W,"Willson, 2008, American Journal of Botany",Oregon,USA
505 ,Gym,Cupressaceae,Juniperus osteosperma,-8.69 ,,,,0.60 ,3.00 ,2.37500001,12.58 ,245.00 ,1.477138164,0.1776,1002.597252,24.90382912,-10.82800007,9,38°35' N,109°32' W,"Cochard, 2006, Comptes Rendus Physique",Utah,USA
1248 ,Gym,Cupressaceae,Juniperus osteosperma,-6.92 ,,,9.71 ,,,3.299999992,7.04 ,540.00 ,1.124677751,0.6018,832.0381902,18.81522567,-9.291999817,30,40°38' N,111°47' W,"Linton, 1998, Functional Ecology",Utah,USA
1770 ,Gym,Cupressaceae,Juniperus osteosperma,-7.81 ,0.12 ,,9.77 ,0.59 ,,3.391666631,17.17 ,215.00 ,1.833410714,0.1418,857.4336781,35.88618829,-3.099999905,5,37°04' N,113°58' W,"Pittermann, 2006a, 2006b","St. George, Utah",USA
2442 ,Gym,Cupressaceae,Juniperus osteosperma,-9.96 ,0.40 ,0.11 ,18.61 ,0.65 ,,3.349999984,8.61 ,489.00 ,0.95644914,0.416,781.5262683,39.63626142,-12.18400002,10,35°10' N,111°31' W,"Willson, 2008, American Journal of Botany; Willson & Jackson, 2006, Physiologia Plantarum",Arizona,USA
1531 ,Gym,Cupressaceae,Juniperus oxycedrus,,0.33 ,0.30 ,6.93 ,,3.00 ,3.466666679,12.32 ,601.00 ,0.758594782,0.6892,623.9790215,30.20544711,-1.419999957,19,41°13' N,0°55' E,"Martinez-Vilalta, 2002, Oecologia",Prades,Spain
2432 ,Gym,Cupressaceae,Juniperus pinchotii,-14.10 ,0.19 ,,,0.60 ,,4.833333333,14.15 ,429.00 ,1.580763938,0.1184,692.41807,76.26222437,-2.440000057,11,31°53' N,104°48' W,"Willson, 2008, American Journal of Botany",Texas,USA
2487 ,Gym,Cupressaceae,Juniperus pingii,,,0.43 ,,,,2.691666643,2.55 ,774.00 ,6.982331523,0.9977,653.3985796,96.99491164,-11.75199986,2,29°28'N,101°32'E,"Xu, 2020, New Phytologist",Sichuan province,China
2488 ,Gym,Cupressaceae,Juniperus pingii var. wilsonii,,,0.28 ,,,,2.691666643,2.55 ,774.00 ,6.982331523,0.9977,653.3985796,96.99491164,-11.75199986,2,29°28'N,101°32'E,"Xu, 2020, New Phytologist",Sichuan province,China
2498 ,Gym,Cupressaceae,Juniperus pingii var. wilsonii,,,0.21 ,,,,2.816666643,2.32 ,776.00 ,6.982331523,1.0537,659.7644595,96.74401021,-12.15600014,2,29°27'N,101°36'E,"Xu, 2020, New Phytologist",Sichuan province,China
2507 ,Gym,Cupressaceae,Juniperus pingii var. wilsonii,,,0.17 ,,,,2.924999992,0.31 ,780.00 ,3.611983221,1.1344,674.6779187,95.99849388,-13.99600029,2,29°31'N,101°40'E,"Xu, 2020, New Phytologist",Sichuan province,China
2618 ,Gym,Cupressaceae,Juniperus pingii var. wilsonii,,,0.14 ,,,,3.25000002,0.42 ,782.00 ,7.326257104,1.3644,679.4209524,92.66621245,-13.25599957,3,29°54'N,102°00'E,"Xu, 2020, New Phytologist",Sichuan province,China
503 ,Gym,Cupressaceae,Juniperus scopulorum,-9.84 ,,,15.37 ,0.59 ,4.00 ,3.983333309,4.45 ,453.00 ,0.540253571,0.5409,785.9340437,45.15793871,-12.29199982,22,47°36' N,112°46' W,"Cochard, 2006, Comptes Rendus Physique",Montana,USA
1772 ,Gym,Cupressaceae,Juniperus scopulorum,-7.20 ,0.45 ,,9.81 ,0.53 ,,2.883333306,9.56 ,382.00 ,1.10150936,0.3237,929.3563627,23.29802952,-14.27200031,20,40°03' N,111°47' W,"Pittermann, 2006a, 2006b",nothern Utah,USA
2059 ,Gym,Cupressaceae,Juniperus scopulorum,-7.38 ,,,,,,3.416666627,5.11 ,495.00 ,0.788358225,0.6225,809.0536305,15.40942263,-12.47599983,30,40°45' N,111°36' W,"Sperry & Sullivan, 1992, Plant Physiology",Utah,USA
2428 ,Gym,Cupressaceae,Juniperus scopulorum,-6.50 ,0.28 ,0.17 ,,0.58 ,,3.349999984,8.61 ,489.00 ,0.95644914,0.416,781.5262683,39.63626142,-12.18400002,10,35°10' N,111°31' W,"Willson & Jackson, 2006, Physiologia Plantarum",Arizona,USA
2436 ,Gym,Cupressaceae,Juniperus scopulorum,-9.00 ,0.12 ,,,0.62 ,,3.24999998,13.37 ,1050.00 ,0.754883472,0.9065,878.3648626,11.81661812,-4.731999874,69,38°54' N,77°02' W,"Willson, 2008, American Journal of Botany",Washington ,USA
1408 ,Gym,Cupressaceae,Juniperus virginiana,-7.12 ,0.25 ,0.18 ,7.42 ,0.63 ,,2.424999982,14.90 ,1150.00 ,0.80813385,0.9145,796.7224354,11.37109856,-2.828000069,79,36°01' N,78°59' W,"Maherali, 2006, Plant, Cell and Environment",North Carolina,USA
2438 ,Gym,Cupressaceae,Juniperus virginiana,-5.80 ,0.30 ,,,0.62 ,,4.341666639,17.42 ,1456.00 ,NA,1.1989,693.6117126,23.89162879,3.200000048,75,34°42' N,76°40' W,"Willson, 2008, American Journal of Botany",North Carolina,USA
2435 ,Gym,Cupressaceae,Juniperus virginiana var. silicicola,-6.60 ,0.51 ,,,0.59 ,,2.408333331,14.98 ,1169.00 ,0.832321853,0.9151,794.2423621,10.95610358,-2.587999821,80,35°57' N,79°04' W,"Willson, 2008, American Journal of Botany",North Carolina,USA
2140 ,Ang,Araliaceae,Kalopanax septemlobus,,0.59 ,0.63 ,,0.61 ,,1.708333333,15.31 ,1184.00 ,0.558582058,1.1298,632.1588893,75.233605,1.911999941,18,26°15'N,105°80'E,This study,Guizhou Province,China
1109 ,Ang,Rhizophoraceae,Kandelia obovata,-7.14 ,0.83 ,0.45 ,71.38 ,0.70 ,,2.833333353,22.64 ,2301.00 ,0.587819246,1.8989,541.3383096,89.03357105,11.68000031,33,21° 34? N,108° 08? E,"Jiang, 2017, Tree Physiology",Guangxi province,China
2942 ,Ang,Rhizophoraceae,Kandelia obovata,-7.14 ,,,,,,3.216666639,24.54 ,1745.00 ,0.697412468,1.3928,390.1725221,69.8213515,15.09599972,24,19°38'N,110°47'E,"Zhu, 2018, Tree Physiology",Hainan province,China
1790 ,Ang,Plantaginaceae,Keckiella antirrhinoides,-4.37 ,0.92 ,0.10 ,,0.65 ,,2.800000012,17.37 ,335.00 ,1.184487994,0.2555,500.2328626,87.24346036,3.43599987,2,33°29' N,117°09' W,"Pivovaroff, 2014, New Phytologist",Southern California,USA
2305 ,Ang,Monimiaceae,Kibaropsis caledonica,-2.40 ,0.26 ,,,0.68 ,,3.608333329,21.34 ,2196.00 ,0.757955855,1.3226,202.1689634,41.42832963,14.01599979,78,21° 10' S,165° 15' E,"Trueba, 2017, Plant, Cell and Environment; Trueba, 2019, Journal of Experimental Botany",New Caledonia,France (Overseas territories)
312 ,Ang,Clusiaceae,Kielmeyera coriacea,-1.91 ,,,,0.48 ,2.27 ,1.816666663,20.44 ,1516.00 ,0.963975451,1.09,123.7480541,79.60995496,11.52799988,8,15°56' S,47°53' W,"Bucci, 2008, Brazilian Journal of Plant Physiology; Bucci, 2004, Tree Physiology; Domec, 2006a, Plant Cell and Environment; Scholz, 2007, Plant Cell and Environment",south of Brasilia,Brazil
714 ,Ang,Malvaceae,Kleinhovia hospita,,8.20 ,1.67 ,,,,2.708333333,26.29 ,2977.00 ,NA,2.331,43.33440365,34.52594325,21.56999969,117,5°08' S,145°41' E,"Feild & Balun, 2008, New Phytologist",20 km north of Madang,Papua New Guinea
1177 ,Ang,Sapindaceae,Koelreuteria bipinnata,-1.67 ,2.30 ,,,0.52 ,,2.208333323,17.35 ,1684.00 ,0.676074042,1.5223,844.751388,58.67976924,1.547999978,45,29°05'N,117°55'E,"Kröber, 2014, PloS one",Jiangxi province,China
410 ,Ang,Sapindaceae,Koelreuteria paniculata,-2.56 ,3.84 ,0.57 ,51.40 ,0.72 ,,2.791666687,12.90 ,750.00 ,0.833278615,0.7018,1029.416139,109.3542796,-7.93599987,8,35°46'N,117°47'E,"Chen, 2019, 2020, 2021, Tree Physiology","Xintai, Shandong province",China
2782 ,Ang,Rosaceae,Koelreuteria paniculata,,,,20.50 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
N13,Ang,Rhamnaceae,Krugiodendron ferreum,,0.75 ,1.20 ,,1.04 ,,3.99999994,26.07 ,939.00 ,NA,0.7402,130.6923339,58.51883815,19.67916679,26,17°58?2.17?N,66°53?17.54?W,"Vargas, 2021, New Phytologist",Guanica,Puerto Rico
1237 ,Ang,Lythraceae,Lafoensia pacari,-3.63 ,,,,0.62 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
758 ,Ang,Lythraceae,Lagerstroemia tomentosa,-1.29 ,6.18 ,0.82 ,,0.66 ,,1.450000008,19.61 ,1575.00 ,0.7831742,1.2463,355.3021639,76.07293498,9.543999672,18,21°54' N,101°46' E,"Fu, 2012, Annals of Botany",Yunnan Province,China
2922 ,Ang,Lythraceae,Lagerstroemia tomentosa,-1.40 ,7.74 ,0.90 ,,0.61 ,10.00 ,1.450000008,19.61 ,1575.00 ,0.7831742,1.2463,355.3021639,76.07293498,9.543999672,18,21°54'N,101°46'E,"Zhu, 2017, Tree Physiology; Tan, 2020, Agricultural and Forest Meteorology",Yunnan province,China
3023 ,Ang,Lythraceae,Lagerstroemia tomentosa,-1.24 ,,,,,,1.225000014,22.42 ,1640.00 ,0.894353661,0.8598,350.4611648,75.65033519,11.8760004,18,21°55'N,101°16'E,"Zhu, 2018, Tree Physiology; Yan, 2020, Biology Letters",Yuanan province,China
918 ,Ang,Proteaceae,Lambertia formosa,,2.23 ,0.32 ,23.39 ,0.64 ,,3.599999984,16.97 ,1253.00 ,0.716941494,1.0326,385.0362387,28.74867037,6.596000195,61,33°41' S,151°09' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany; Blackman, 2018, Annals of Botany","New South Wales, Eastern Australia",Australia
2820 ,Ang,Anacardiaceae,Lannea coromandelica,-1.75 ,6.59 ,0.76 ,,0.34 ,,1.241666675,21.73 ,1241.00 ,0.650657102,0.5667,418.0369268,86.52378798,10.16399956,13,23°27'N,102°10'E,"Zhang, 2019, Forests; Zhang, 2017, Frontiers in Plant Science; Yan, 2020, Biology Letters",Yunnan province,China
373 ,Gym,Pinaceae,Larix decidua,-3.51 ,0.14 ,,,,,4.308333337,6.49 ,1071.00 ,0.465447179,1.253,558.9409171,13.88060171,-3.960000038,71,45°36' N,2°49' E,"Charra-Vaskou, 2012, Annals of Forest Science","Guery, Auvergne",France
