Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
793 ,Ang,Fabaceae,Acacia holosericea,,4.10 ,0.88 ,46.45 ,0.58 ,2.50 ,2.391666681,26.83 ,687.00 ,2.472404017,0.3277,380.6304795,119.4832856,13.63599968,1,18°43' S,141°50' E,"Gleason, 2012, Functional Ecology",Carpentaria,Australia
869 ,Ang,Fabaceae,Acacia leptostachya,,0.28 ,0.42 ,32.44 ,0.71 ,1.50 ,3.433333337,20.90 ,1400.00 ,1.018901775,0.7223,326.6472719,92.01642804,9.711999893,18,18°18' S,145°30' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany","Einasleigh, northern queensland",Australia
812 ,Ang,Fabaceae,Acacia mangium,,3.48 ,0.82 ,39.73 ,0.40 ,25.00 ,4.891666691,23.63 ,2084.00 ,0.865874479,1.3729,289.0695581,88.38712088,14.96000004,29,18°24' S,146°6' E,"Gleason, 2012, Functional Ecology",Queensland,Australia
2022 ,Ang,Fabaceae,Acacia mearnsii,-5.07 ,,,,,,4.416666627,11.58 ,637.00 ,0.463877453,0.6769,324.0222485,15.33784133,2.171999931,35,42°03'S,147°57' E,"Smith-Martin, 2020, Fuctional Ecology; Skelton, 2017, New Phytologist",East coast of Tasmania,Australia
2821 ,Ang,Fabaceae,Acacia megaladena,-2.30 ,6.83 ,,,0.43 ,,1.225000004,20.88 ,1683.00 ,0.85605524,1.0122,338.2657063,78.45212263,10.92399979,17,21°36?N,101°35?E,"Zhang, 2019, Tree Physiology",Yunnan province,China
435 ,Ang,Fabaceae,Acacia obtusifolia,,1.12 ,0.28 ,,,,2.699999988,11.40 ,1076.00 ,0.615049716,0.8722,433.5529752,21.55849705,0.5,63,33°59'S,150°07'E,"Choat, 2011, New Phytologist",south-eastern Australia,Australia
863 ,Ang,Fabaceae,Acacia parvipinnula,,0.91 ,1.09 ,39.03 ,0.60 ,5.00 ,2.458333313,16.28 ,874.00 ,0.857961244,0.5743,450.6347406,33.16001174,4,38,32°47' S,150°55' E,"Gleason, 2012, Functional Ecology",Eastern Australia,Australia
848 ,Ang,Fabaceae,Acacia terminalis,,0.43 ,0.77 ,25.46 ,0.54 ,4.00 ,5.108333309,10.74 ,951.00 ,0.428962839,1.0454,288.3112936,17.90963242,2.263999939,58,42°59' S,147°11' E,"Gleason, 2012, Functional Ecology",Tasmanian,Australia
2753 ,Ang,Sapindaceae,Acer barbinerve,-2.23 ,0.99 ,,30.30 ,0.46 ,,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24' N,128°28' E,"Yin, 2018, New Phytologist",Jilin province,China
2258 ,Ang,Sapindaceae,Acer buergerianum,,1.71 ,0.63 ,,0.51 ,,2.383333345,14.83 ,1141.00 ,0.681450467,1.1928,885.8909326,59.00553992,-2.440000057,20,31°48'N,114°04'E,"This study; Zhu, 2018, Tree Physiology",Henan province,China
1980 ,Ang,Sapindaceae,Acer campestre,-4.19 ,,,,0.60 ,,3.125,9.76 ,583.00 ,0.605816588,0.7281,745.6629679,28.56675466,-5.191999912,30,48°14'N,16°20'E,"Savi, 2019, Tree Physiology",Vienna,Austria
1997 ,Ang,Sapindaceae,Acer campestre,-5.40 ,0.86 ,0.68 ,29.02 ,0.57 ,17.82 ,3.649999996,9.01 ,680.00 ,0.445207985,0.9862,626.9841101,13.37793013,-4.268000126,44,51°34' N,9°57' E,"Schumann, 2019, Trees-Structure and Function",Göttingen,Germany
1266 ,Ang,Sapindaceae,Acer cordatum,,0.23 ,,,0.58 ,,2.383333345,16.19 ,1749.00 ,0.606894284,1.7554,831.410251,57.04453011,1.052000046,44,29°15' N,118°07' E,"Liu, 2016, Ecology",Zhejiang province,China
1158 ,Ang,Sapindaceae,Acer davidii,-4.01 ,0.64 ,,,0.50 ,,2.208333323,17.35 ,1684.00 ,0.676074042,1.5223,844.751388,58.67976924,1.547999978,45,29°05'N,117°55'E,"Kröber, 2014, PloS one",Jiangxi province,China
2761 ,Ang,Sapindaceae,Acer davidii,,,1.13 ,18.79 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
2581 ,Ang,Sapindaceae,Acer flabellatum,,,0.94 ,,,,2.458333294,0.75 ,846.00 ,38.61108759,1.0824,647.250795,90.57201924,-13,7,29°34'N,101°59'E,"Xu, 2020, New Phytologist",Sichuan province,China
2640 ,Ang,Sapindaceae,Acer flabellatum,,1.40 ,1.23 ,,0.46 ,,2.074999998,3.00 ,858.00 ,6.066549556,0.9714,635.2643433,90.25313014,-10.72399998,8,29°35'N,102°02'E,"Xu, 2020, New Phytologist",Sichuan province,China
1367 ,Ang,Sapindaceae,Acer ginnala,-2.76 ,3.90 ,0.42 ,33.00 ,0.46 ,6.00 ,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24'N,128°29'E,"Liu, 2019, Science Advances; Yin, 2018, New Phytologist",Jilin Province,China
2762 ,Ang,Sapindaceae,Acer ginnala,,,0.44 ,17.03 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
470 ,Ang,Sapindaceae,Acer glabrum,-2.30 ,1.17 ,,,,7.00 ,3.525000056,4.62 ,515.00 ,0.788358225,0.7715,786.691472,14.51401487,-11.25199986,32,40°42' N,111°41' W,"Christman, 2009, New Phytologist","Millcreek Canyon, Utah",USA
12 ,Ang,Sapindaceae,Acer grandidentatum,-3.41 ,1.20 ,,19.60 ,,5.00 ,3.333333353,9.22 ,558.00 ,1.047863447,0.5793,899.1572254,27.39784947,-9.944000244,25,40°47´N,111°48´W,"Alder, 1996, Oecologia; Christman, 2009, New Phytologist","East of Salt Lake City, Utah",USA
2595 ,Ang,Sapindaceae,Acer kungshanense,,0.53 ,0.75 ,,0.46 ,,2.324999978,0.75 ,846.00 ,38.61108759,1.0448,647.250795,90.57201924,-13,7,29°34'N,102°00'E,"Xu, 2020, New Phytologist",Sichuan province,China
2520 ,Ang,Sapindaceae,Acer laxiflorum,,1.07 ,0.79 ,,0.49 ,,2.433333337,5.86 ,847.00 ,15.35548757,1.0344,601.2807223,94.0150966,-7.832000256,5,29°27'N,101°53'E,"Xu, 2020, New Phytologist",Sichuan province,China
2541 ,Ang,Sapindaceae,Acer laxiflorum,,0.50 ,1.08 ,,0.44 ,,2.091666649,3.70 ,847.00 ,15.35548757,0.9333,618.9011041,93.37889157,-9.944000244,5,29°25'N,101°55'E,"Xu, 2020, New Phytologist",Sichuan province,China
2561 ,Ang,Sapindaceae,Acer laxiflorum,,0.53 ,0.92 ,,0.41 ,,2.299999972,0.78 ,828.00 ,15.35548757,0.9958,691.690106,92.74818783,-13.50800037,4,29°22'N,101°55'E,"Xu, 2020, New Phytologist",Sichuan province,China
2596 ,Ang,Sapindaceae,Acer laxiflorum,,0.57 ,1.15 ,,0.50 ,,2.324999978,0.75 ,846.00 ,38.61108759,1.0448,647.250795,90.57201924,-13,7,29°34'N,102°00'E,"Xu, 2020, New Phytologist",Sichuan province,China
2641 ,Ang,Sapindaceae,Acer laxiflorum,,0.39 ,0.97 ,,0.43 ,,2.074999998,3.00 ,858.00 ,6.066549556,0.9714,635.2643433,90.25313014,-10.72399998,8,29°35'N,102°02'E,"Xu, 2020, New Phytologist",Sichuan province,China
2754 ,Ang,Sapindaceae,Acer mandshuricum,-3.17 ,1.94 ,,33.50 ,0.55 ,,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24' N,128°28' E,"Yin, 2018, New Phytologist",Jilin province,China
1363 ,Ang,Sapindaceae,Acer mono,-2.74 ,2.57 ,1.11 ,29.10 ,0.55 ,7.97 ,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24'N,128°29'E,"Liu, 2019, Science Advances; Yang, 2019, Tree Physiology; Yin, 2018, New Phytologist",Jilin Province,China
1526 ,Ang,Sapindaceae,Acer monspessulanum,-3.31 ,0.70 ,0.34 ,23.31 ,,8.00 ,3.466666679,12.32 ,601.00 ,0.758594782,0.6892,623.9790215,30.20544711,-1.419999957,19,41°13' N,0°55' E,"Martinez-Vilalta, 2002, Oecologia",Prades,Spain
1689 ,Ang,Sapindaceae,Acer monspessulanum,-3.40 ,,,17.30 ,0.54 ,,2.466666639,12.66 ,1268.00 ,NA,1.4257,671.2691649,21.22951887,-0.037500001,68,45°41'N,13°44'E,"Nardini, 2012, New Phytologist; Nardini, 2013, New Phytologist",Trieste province,Italy
1961 ,Ang,Sapindaceae,Acer monspessulanum,-4.78 ,,,,0.79 ,,2.224999984,13.22 ,1284.00 ,0.550608952,1.2953,680.3336276,20.82444629,0.263999999,70,45°38'N,13°48''E,"Savi, 2019, Tree Physiology",Trieste,Italy
471 ,Ang,Sapindaceae,Acer negundo,-2.00 ,1.32 ,,,,17.50 ,3.433333317,7.82 ,555.00 ,1.047863447,0.6604,868.2494278,25.28635586,-11.6079998,27,40°47' N,111°47' W,"Christman, 2009, New Phytologist; Umebayashi, 2019, Tree Physiology","East of Salt Lake City, Utah",USA
