Timestamp	StudentAge	Gender	Nationality	Major	FirstPhoneAge	Provider	Devices	WeeklyPhone	SocialMedia	Sleep	MobileMoney	Food	Study	Gym	StudySpace	Health	Writing	Math
8/26/2019 14:00:11	20	Female	Ghana	BA	18	MTN	2	10	7	4	No	9	30	No	Room	2	Yes	Yes
8/26/2019 14:01:08	19	Male	USA	CS	14	MTN	2	20	4	5	Yes	20	5	Yes	Library Study Area	3	No	No
8/26/2019 14:19:24	18	Male	Ghana	CS	15	MTN	2	50	5	5	Yes	0	9	Yes	Hakuna Matata	2	Yes	No
8/26/2019 14:48:38	19	Female	Ghana	BA	12	MTN	2	20	5	7.5	No	0	12	Yes	Any of the classrooms	0	Yes	Yes
8/26/2019 14:51:22	18	Female	Ghana	BA	15	Vodafone	2	30	10.5	6.5	No	28	15	No	Under the stairs at the administration block	0	Yes	Yes
8/26/2019 14:52:43	19	Female	Ghana	MIS	14	MTN	3	10	3.5	8	Yes	9	60	No	Any of the classrooms	2	Yes	Yes
8/26/2019 15:07:09	19	Male	Ghana	BA	12	AirtelTigo	2	25	6	6.5	Yes	10	1.5	No	Students hangout	1	Yes	Yes
8/26/2019 15:07:33	19	Female	Ghana	BA	11	MTN	2	8	5	6	Yes	11.5	4	No	Lab 221	3	Yes	Yes
8/26/2019 15:13:16	20	Male	Zimbabwe	Engineering	13	MTN	2	15	3	5	Yes	35	6	No	Any of the classrooms	6	Yes	Yes
8/26/2019 15:16:32	18	Female	Ghana	MIS	12	AirtelTigo	3	10	2	4	No	12	2	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 15:16:44	18	Male	Ghana	MIS	16	AirtelTigo	3	20	4	7	Yes	6	18	No	Students hangout	0	Yes	No
8/26/2019 15:27:09	20	Female	Ghana	BA	16	MTN	2	10	1.2	5.5	No	7	10	No	Any of the classrooms	2	Yes	Yes
8/26/2019 15:30:06	19	Male	Ghana	CS	6	Vodafone	4	0	4	6	No	20	8	No	D-Lab	0	Yes	Yes
8/26/2019 15:48:02	21	Male	Ghana	MIS	18	MTN	1	6	2.5	6	No	27	6	No	Room	2	Yes	No
8/26/2019 15:56:03	18	Female	Ghana	CS	16	MTN	2	50	4	7	Yes	7.5	15	No	Room	0	Yes	Yes
8/26/2019 16:01:13	19	Male	Ghana	CS	11	MTN	3	20	5	6.5	Yes	0	4	No	Any of the classrooms	0	Yes	No
8/26/2019 16:04:51	20	Male	Ghana	BA	15	Vodafone	2	25	12	7.5	No	20	3	No	Any of the classrooms	2	Yes	No
8/26/2019 16:08:43	19	Female	Ghana	MIS	13	MTN	2	14	5	6	Yes	12	8.5	Yes	Library Study Area	3	Yes	Yes
8/26/2019 16:21:33	20	Male	Ghana	BA	14	MTN	2	50	6	6	Yes	20	4	Yes	Library Study Area	3	Yes	Yes
8/26/2019 16:22:10	18	Female	Ghana	BA	13	Vodafone	2	2	5	6	Yes	10	3	Yes	Any of the classrooms	1	Yes	Yes
8/26/2019 16:24:32	19	Female	Ghana	BA	11	AirtelTigo	2	0	5	6	No	9.7	16	No	Room	3	Yes	Yes
8/26/2019 16:26:17	18	Female	Ghana	BA	12	MTN	2	40	3.5	6	Yes	17	15	No	Any of the classrooms	4	Yes	No
8/26/2019 16:27:36	18	Male	Ghana	BA	9	Vodafone	2	0	3.5	7	Yes	10	10	Yes	Any of the classrooms	1	Yes	No
8/26/2019 16:45:56	18	Male	Ghana	CS	10	AirtelTigo	2	7	3	7.5	Yes	0	7	No	Green Lounge	0	Yes	No
8/26/2019 16:53:58	19	Male	Ghana	MIS	9	MTN	2	30	6	6.5	Yes	25	28	Yes	Any of the classrooms	5	Yes	Yes
8/26/2019 16:57:14	20	Female	Ghana	MIS	8	AirtelTigo	2	30	5	7	No	50	18	Yes	Green Lounge	0	Yes	Yes
8/26/2019 16:59:39	19	Female	Ghana	BA	9	AirtelTigo	3	10	3.5	6	Yes	16	3	No	Any of the classrooms	2	Yes	Yes
8/26/2019 17:00:30	18	Male	USA	BA	14	Vodafone	2	25	3	6.5	No	30	18	No	Lab 221	6	Yes	No
8/26/2019 17:13:06	20	Female	Ghana	BA	18	Vodafone	2	8	5	7.5	No	31.8	5	No	Lab 221	2	Yes	Yes
8/26/2019 17:15:23	21	Female	Ghana	BA	16	MTN	3	10	4	4	Yes	9	9	No	Room 	3	Yes	No
8/26/2019 17:17:17	19	Female	Rwanda	BA	14	AirtelTigo	2	0	4	9	Yes	35	8	Yes	Any of the classrooms	6	Yes	Yes
8/26/2019 17:17:22	18	Female	Ghana	BA	10	MTN	2	5	1	7.5	Yes	25	6	No	Any of the classrooms	3	Yes	Yes
8/26/2019 17:19:48	19	Male	Ghana	CS	8	MTN	2	50	4	4	No	20	5	No	Any of the classrooms	1	Yes	Yes
8/26/2019 17:32:56	19	Male	Ghana	CS	12	MTN	2	48	5	7.5	Yes	15	2	No	Library Study Area	4	Yes	No
8/26/2019 17:38:58	19	Male	Ghana	BA	15	MTN	2	20	6	8	No	9	4	No	Room	1	Yes	No
8/26/2019 17:40:29	18	Male	Ghana	CS	15	MTN	2	55	6	6	Yes	30	5	No	Lobby	1	Yes	No
8/26/2019 17:44:00	19	Male	Ghana	CS	10	Vodafone	3	14	5	7	Yes	10	4	No	Lab 221	0	Yes	Yes
8/26/2019 17:47:31	18	Male	Ghana	CS	15	Vodafone	2	5	5	6	Yes	22	12	Yes	Library Study Area	8	Yes	Yes
8/26/2019 18:00:15	19	Female	Ghana	BA	11	Vodafone	2	1	8	7	Yes	5	10	No	Any of the classrooms	2	Yes	No
8/26/2019 18:16:34	20	Male	Ghana	CS	17	AirtelTigo	2	15	2	7	Yes	33	8	Yes	The Hive	5	Yes	Yes
8/26/2019 18:20:28	23	Male	Ghana	CS	14	MTN	2	20	1	10	Yes	35	10	No	Any of the classrooms	6	Yes	Yes
8/26/2019 18:40:57	18	Male	Ghana	CS	10	MTN	4	10	4.5	7	Yes	0	3	No	Library Study Area	0	Yes	No
8/26/2019 18:42:16	18	Female	Ghana	BA	13	MTN	2	20	8	5	Yes	10	30	No	Lab 221	4	Yes	Yes
8/26/2019 18:43:43	19	Female	Ghana	BA	13	AirtelTigo	2	50	12	5	Yes	0	8	No	Hive	0	Yes	No
8/26/2019 19:02:41	19	Female	Rwanda	MIS	15	MTN	2	5	2	9	Yes	30	4	No	Any of the classrooms	5	Yes	No
8/26/2019 19:10:27	19	Female	Ghana	MIS	11	AirtelTigo	2	30	4	7	No	40	9	Yes	Any of the classrooms	1	Yes	No
8/26/2019 19:11:13	19	Male	Nigeria	BA	10	MTN	2	30	10	5	No	40	2	Yes	Library Study Area	0	Yes	Yes
8/26/2019 19:24:35	19	Male	Ghana	MIS	10	Vodafone	2	35	3.5	7	Yes	20	5	Yes	Library Seminar Room	1	Yes	Yes
8/26/2019 19:32:12	21	Female	Cameroon	BA	18	MTN	2	2	2	6	No	20	15	No	Room	3	Yes	No
8/26/2019 20:06:46	19	Female	Ghana	BA	10	MTN	2	50	3.5	7	Yes	10	23	No	Any of the classrooms	2	Yes	Yes
8/26/2019 20:12:12	19	Male	Ghana	MIS	9	Vodafone	3	25	2	6	Yes	40	14	No	Library Study Area	10	Yes	Yes
8/26/2019 20:13:42	20	Male	Ghana	BA	10	MTN	3	3	3.5	7	No	60	3	Yes	Any of the classrooms	2	No	Yes
8/26/2019 20:16:36	20	Male	Ghana	BA	10	MTN	2	10	2	4.5	Yes	10	15	No	Any of the classrooms	5	Yes	Yes
8/26/2019 20:24:36	19	Female	Ghana	CS	7	MTN	2	20	4	6	Yes	0	8	No	Any of the classrooms	2	Yes	Yes
8/26/2019 20:38:54	20	Male	Ghana	MIS	15	MTN	2	10	4	6	Yes	20	20	No	Fab Lab	5	Yes	No
